conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Identify Policy Compliance Requirements,"The act of identifying compliance requirements, either through legislation, organizational policy creation, or maintenance.",Value Stream Stage,,Ensure Policy Compliance,,Ensure Policy Compliance,1,,
,Define Policy Compliance Controls,The act of analyzing compliance requirements and identifying safeguards and controls to be put in place to ensure compliance.,Value Stream Stage,,Ensure Policy Compliance,,Ensure Policy Compliance,2,,
,Implement Policy Compliance Controls,"The act of implementing people, process, and technology changes and required training to enable the predefined compliance controls.",Value Stream Stage,,Ensure Policy Compliance,,Ensure Policy Compliance,3,,
,Validate Policy Compliance Controls,"The act of evaluating compliance controls' effectiveness and proactively managing compliance incidents, including disciplinary actions if required.",Value Stream Stage,,Ensure Policy Compliance,,Ensure Policy Compliance,4,,
,Report Policy Compliance,The act of reporting compliance to the regulatory bodies and organization's management.,Value Stream Stage,,Ensure Policy Compliance,,Ensure Policy Compliance,5,,
,Establish Agreement,The end-to-end perspective of activities necessary for establishing a new or updating an existing agreement with a partner or a constituent.,Value Stream,,,,,,,
,Receive Request,The act of receiving a request or expressed interest in creating or updating an agreement and verifying the requester's identity.,Value Stream Stage,,Establish Agreement,,Establish Agreement,1,,
,Identify Needs,The act of assessing the needs of the constituent in order to recommend the agreement.,Value Stream Stage,,Establish Agreement,,Establish Agreement,2,,
,Collect Approval and Submission,The act of receiving the requester's approval to proceed as well as gathering and validating all remaining information needed to establish or modify an agreement.,Value Stream Stage,,Establish Agreement,,Establish Agreement,3,,
,Evaluate Risk,"The act of both parties, e.g., the requester and the business, assessing the risk of establishing or updating the agreement and agreeing to proceed.",Value Stream Stage,,Establish Agreement,,Establish Agreement,4,,
,Activate Agreement,The act of activating the requester's agreement.,Value Stream Stage,,Establish Agreement,,Establish Agreement,5,,
,Perform Post-activation Activities,"The act of performing any post-activation activities, such as notifications, compliance verification, or quality assurance checks.",Value Stream Stage,,Establish Agreement,,Establish Agreement,6,,
,Establish Standard,"The end-to-end perspective of designing, articulating, approving, updating, and publishing a standard.",Value Stream,,,,,,,
,Initiate Standard,"Assess need for new standard, such as to provide guidance for minimum viable compliance with a policy.",Value Stream Stage,,Establish Standard,,Establish Standard,1,,
,Commission Standard,The act of commissioning the development of a new standard in accordance with organizational or government policy and legislation.,Value Stream Stage,,Establish Standard,,Establish Standard,2,,
,Research Industry Practices,The act of discovering and evaluating industry practices in order to establish a common framework that will ensure compliance.,Value Stream Stage,,Establish Standard,,Establish Standard,3,,
,Articulate Standard,"The activities involved in drafting the standard, soliciting feedback, and refining the standard.",Value Stream Stage,,Establish Standard,,Establish Standard,4,,
