conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Evidence -> Location,Related information concept link from Evidence to Location,Information Concept Link,,Evidence,,Evidence,22,,Location
,Evidence -> Market,Related information concept link from Evidence to Market,Information Concept Link,,Evidence,,Evidence,23,,Market
,Evidence -> Material,Related information concept link from Evidence to Material,Information Concept Link,,Evidence,,Evidence,24,,Material
,Evidence -> Message,Related information concept link from Evidence to Message,Information Concept Link,,Evidence,,Evidence,25,,Message
,Evidence -> Natural Resource,Related information concept link from Evidence to Natural Resource,Information Concept Link,,Evidence,,Evidence,26,,Natural Resource
,Evidence -> Partner,Related information concept link from Evidence to Partner,Information Concept Link,,Evidence,,Evidence,27,,Partner
,Evidence -> Plan,Related information concept link from Evidence to Plan,Information Concept Link,,Evidence,,Evidence,28,,Plan
,Evidence -> Policy,Related information concept link from Evidence to Policy,Information Concept Link,,Evidence,,Evidence,29,,Policy
,Evidence -> Research,Related information concept link from Evidence to Research,Information Concept Link,,Evidence,,Evidence,30,,Research
,Evidence -> Time,Related information concept link from Evidence to Time,Information Concept Link,,Evidence,,Evidence,31,,Time
,Evidence -> Vote,Related information concept link from Evidence to Vote,Information Concept Link,,Evidence,,Evidence,32,,Vote
,Evidence -> Work Item,Related information concept link from Evidence to Work Item,Information Concept Link,,Evidence,,Evidence,33,,Work Item
,Finance,Category: Primary. Monetary aspects and resources.,Information Concept,,,,,,,
,Currency,Category: Secondary. An agreed medium of value exchange.,Information Concept,,,,,,,
,Representational,Type for Currency,Information Concept Type,,Currency,,Currency,1,,
,Intrinsic,Type for Currency,Information Concept Type,,Currency,,Currency,2,,
,such as CAD,Type for Currency,Information Concept Type,,Currency,,Currency,3,,
,USD,Type for Currency,Information Concept Type,,Currency,,Currency,4,,
,GBP,Type for Currency,Information Concept Type,,Currency,,Currency,5,,
,or RMB,Type for Currency,Information Concept Type,,Currency,,Currency,6,,
,Recognized,State for Currency,Information Concept State,,Currency,,Currency,1,,
,Unrecognized,State for Currency,Information Concept State,,Currency,,Currency,2,,
,Financial Account,"Category: Secondary. A named container of monetary value transactions that are typically organized into assets, liabilities, income, expense, equity, and other related categories.",Information Concept,,,,,,,
,Asset,Type for Financial Account,Information Concept Type,,Financial Account,,Financial Account,1,,
,Equity/Capital,Type for Financial Account,Information Concept Type,,Financial Account,,Financial Account,2,,
,Expense,Type for Financial Account,Information Concept Type,,Financial Account,,Financial Account,3,,
,Income,Type for Financial Account,Information Concept Type,,Financial Account,,Financial Account,4,,
,Liability,Type for Financial Account,Information Concept Type,,Financial Account,,Financial Account,5,,
,Suspense,Type for Financial Account,Information Concept Type,,Financial Account,,Financial Account,6,,
,Active,State for Financial Account,Information Concept State,,Financial Account,,Financial Account,1,,
,Closed,State for Financial Account,Information Concept State,,Financial Account,,Financial Account,2,,
,Pending,State for Financial Account,Information Concept State,,Financial Account,,Financial Account,3,,
,Suspended,State for Financial Account,Information Concept State,,Financial Account,,Financial Account,4,,
,Financial Account -> Constituent,Related information concept link from Financial Account to Constituent,Information Concept Link,,Financial Account,,Financial Account,1,,Constituent
,Financial Account -> Currency,Related information concept link from Financial Account to Currency,Information Concept Link,,Financial Account,,Financial Account,2,,Currency
